Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.blankj.base.mvp,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\mvp\BaseView.java,3,87,Access to field `ON_DESTROY` on foreign value `Lifecycle.Event` (degree 1),Design,LawOfDemeter
1,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItem.java,3,49,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
2,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItem.java,3,59,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
3,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItem.java,3,62,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
4,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItem.java,3,73,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
1,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItemAdapter.java,3,21,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\BaseItemAdapter.java,3,37,Access to field `mAdapter` on foreign value `item` (degree 1),Design,LawOfDemeter
1,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\RecycleViewDivider.java,3,94,Access to field `bottom` on foreign value `mBounds` (degree 1),Design,LawOfDemeter
2,com.blankj.base.rv,C:\User\divya\Projects\AndroidUtilCode\lib\base\src\main\java\com\blankj\base\rv\RecycleViewDivider.java,3,122,Access to field `right` on foreign value `mBounds` (degree 1),Design,LawOfDemeter
1,com.blankj.common.activity,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\activity\CommonActivityDrawerView.java,3,37,Access to field `baseDrawerActionGitHub` on foreign value `R.id` (degree 1),Design,LawOfDemeter
2,com.blankj.common.activity,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\activity\CommonActivityDrawerView.java,3,39,Access to field `baseDrawerActionBlog` on foreign value `R.id` (degree 1),Design,LawOfDemeter
1,com.blankj.common.activity,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\activity\CommonActivityTitleView.java,3,89,Access to field `home` on foreign value `android.R.id` (degree 1),Design,LawOfDemeter
1,com.blankj.common.dialog,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\dialog\CommonDialogContent.java,3,79,Access to field `second` on foreign value `positiveBtnAction` (degree 1),Design,LawOfDemeter
2,com.blankj.common.dialog,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\dialog\CommonDialogContent.java,3,90,Access to field `second` on foreign value `negativeBtnAction` (degree 1),Design,LawOfDemeter
1,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItem.java,3,30,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
1,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItemClick.java,3,109,Access to field `mContent` on foreign value `item` (degree 1),Design,LawOfDemeter
1,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItemSeekBar.java,3,57,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
1,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItemSwitch.java,3,64,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
2,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItemSwitch.java,3,68,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
1,com.blankj.common.item,C:\User\divya\Projects\AndroidUtilCode\lib\common\src\main\java\com\blankj\common\item\CommonItemTitle.java,3,67,Access to field `itemView` on foreign value `holder` (degree 1),Design,LawOfDemeter
1,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\AppStoreUtils.java,3,88,Access to field `activityInfo` on foreign value `resolveInfo` (degree 1),Design,LawOfDemeter
2,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\AppStoreUtils.java,3,103,Access to field `activityInfo` on foreign value `resolveInfos.get(0)` (degree 1),Design,LawOfDemeter
1,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\BatteryUtils.java,3,48,Access to field `M` on foreign value `Build.VERSION_CODES` (degree 1),Design,LawOfDemeter
2,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\BatteryUtils.java,3,58,Access to field `M` on foreign value `Build.VERSION_CODES` (degree 1),Design,LawOfDemeter
1,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\CountryUtils.java,3,70,Access to field `locale` on foreign value `Resources.getSystem().getConfiguration()` (degree 1),Design,LawOfDemeter
1,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,120,Access to field `successMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
2,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,123,Access to field `successMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
3,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,124,Access to field `errorMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
4,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,176,Access to field `successMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
5,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,179,Access to field `successMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
6,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,180,Access to field `errorMsg` on foreign value `commandResult` (degree 1),Design,LawOfDemeter
7,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,233,Access to field `result` on foreign value `result` (degree 1),Design,LawOfDemeter
8,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,251,Access to field `result` on foreign value `result` (degree 1),Design,LawOfDemeter
9,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,291,Access to field `result` on foreign value `result` (degree 1),Design,LawOfDemeter
10,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,302,Access to field `result` on foreign value `result` (degree 1),Design,LawOfDemeter
11,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,320,Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1),Design,LawOfDemeter
12,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\DangerousUtils.java,3,320,Access to field `O` on foreign value `Build.VERSION_CODES` (degree 1),Design,LawOfDemeter
1,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\HttpsUtil.java,3,106,Call to `getInputStream` on foreign value `connection` (degree 1),Design,LawOfDemeter
2,com.blankj.subutil.util,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\HttpsUtil.java,3,123,Call to `close` on foreign value `is` (degree 2),Design,LawOfDemeter
1,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,63,Access to field `mURL` on foreign value `request` (degree 1),Design,LawOfDemeter
2,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,66,Access to field `sslConfig` on foreign value `CONFIG` (degree 1),Design,LawOfDemeter
3,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,67,Access to field `sslConfig` on foreign value `CONFIG` (degree 1),Design,LawOfDemeter
4,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,85,Access to field `length` on foreign value `body` (degree 1),Design,LawOfDemeter
5,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,91,Access to field `bis` on foreign value `body` (degree 1),Design,LawOfDemeter
6,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,95,Access to field `bis` on foreign value `body` (degree 1),Design,LawOfDemeter
7,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,189,Access to field `DEFAULT_SSL_CONFIG` on foreign value `SSLConfig` (degree 1),Design,LawOfDemeter
8,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,216,Call to `close` on foreign value `is` (degree 2),Design,LawOfDemeter
9,com.blankj.subutil.util.http,C:\User\divya\Projects\AndroidUtilCode\lib\subutil\src\main\java\com\blankj\subutil\util\http\HttpUtils.java,3,218,Avoid unused local variables such as 'location'.,Best Practices,UnusedLocalVariable
