Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,43,Access to field `top` on foreign value `focusScrollRect` (degree 1),Design,LawOfDemeter
2,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,43,Access to field `bottom` on foreign value `focusScrollRect` (degree 1),Design,LawOfDemeter
3,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,50,Access to field `bottom` on foreign value `focusScrollRect` (degree 1),Design,LawOfDemeter
4,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,52,Access to field `top` on foreign value `focusScrollRect` (degree 1),Design,LawOfDemeter
5,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,54,Access to field `bottom` on foreign value `focusScrollRect` (degree 1),Design,LawOfDemeter
6,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,123,Avoid empty catch blocks,Error Prone,EmptyCatchBlock
7,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,139,Avoid empty catch blocks,Error Prone,EmptyCatchBlock
8,com.google.android.material.appbar,C:\User\divya\Projects\NewPipe\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java,3,153,Avoid empty catch blocks,Error Prone,EmptyCatchBlock
1,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\App.java,3,115,Access to field `DEBUG` on foreign value `MainActivity` (degree 1),Design,LawOfDemeter
2,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\App.java,3,203,Call to `getUncaughtExceptionHandler` on foreign value `Thread.currentThread()` (degree 1),Design,LawOfDemeter
1,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,101,"Possible God Class (WMC=122, ATFD=120, TCC=24.339%)",Design,GodClass
2,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,145,Access to field `drawerLayout` on foreign value `mainBinding` (degree 1),Design,LawOfDemeter
3,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,148,Access to field `toolbarLayout` on foreign value `mainBinding` (degree 1),Design,LawOfDemeter
4,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,220,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
5,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,237,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
6,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,244,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
7,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,248,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
8,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,251,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
9,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,254,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
10,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,257,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
11,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,262,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
12,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,265,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
13,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,272,Access to field `menu_services_group` on foreign value `R.id` (degree 1),Design,LawOfDemeter
14,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,275,Access to field `menu_tabs_group` on foreign value `R.id` (degree 1),Design,LawOfDemeter
15,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,282,Access to field `menu_options_about_group` on foreign value `R.id` (degree 1),Design,LawOfDemeter
16,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,294,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
17,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,298,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
18,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,347,Access to field `drawerHeaderActionButton` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
19,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,353,Access to field `drawerHeaderNewpipeTitle` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
20,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,354,Access to field `width` on foreign value `layoutParams` (degree 1),Design,LawOfDemeter
21,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,355,Access to field `drawerHeaderNewpipeTitle` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
22,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,356,Access to field `drawerHeaderNewpipeTitle` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
23,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,357,Access to field `drawerHeaderNewpipeTitle` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
24,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,359,Access to field `drawerHeaderNewpipeTitle` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
25,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,367,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
26,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,368,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
27,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,369,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
28,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,372,Access to field `drawerArrow` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
29,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,373,Access to field `ic_arrow_drop_up` on foreign value `R.drawable` (degree 1),Design,LawOfDemeter
30,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,373,Access to field `ic_arrow_drop_down` on foreign value `R.drawable` (degree 1),Design,LawOfDemeter
31,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,390,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
32,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,399,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
33,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,474,Access to field `drawerHeaderServiceView` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
34,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,475,Access to field `drawerHeaderServiceIcon` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
35,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,478,Access to field `drawerHeaderServiceView` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
36,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,478,Access to field `drawerHeaderServiceView` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
37,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,480,Access to field `drawerHeaderActionButton` on foreign value `drawerHeaderBinding` (degree 1),Design,LawOfDemeter
38,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,506,Access to field `navigation` on foreign value `drawerLayoutBinding` (degree 1),Design,LawOfDemeter
39,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,679,Access to field `toolbarSearchContainer` on foreign value `toolbarLayoutBinding` (degree 1),Design,LawOfDemeter
40,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,698,Access to field `home` on foreign value `android.R.id` (degree 1),Design,LawOfDemeter
41,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,743,Access to field `toolbar` on foreign value `toolbarLayoutBinding` (degree 1),Design,LawOfDemeter
42,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\MainActivity.java,3,750,Access to field `toolbar` on foreign value `toolbarLayoutBinding` (degree 1),Design,LawOfDemeter
1,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,45,Access to field `menu_item_remove` on foreign value `R.id` (degree 1),Design,LawOfDemeter
2,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,49,Access to field `menu_item_details` on foreign value `R.id` (degree 1),Design,LawOfDemeter
3,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,55,Access to field `menu_item_append_playlist` on foreign value `R.id` (degree 1),Design,LawOfDemeter
4,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,66,Access to field `menu_item_channel_details` on foreign value `R.id` (degree 1),Design,LawOfDemeter
5,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,76,Access to field `menu_item_share` on foreign value `R.id` (degree 1),Design,LawOfDemeter
6,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\QueueItemMenuUtil.java,3,80,Access to field `menu_item_download` on foreign value `R.id` (degree 1),Design,LawOfDemeter
1,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,113,"Possible God Class (WMC=90, ATFD=103, TCC=9.524%)",Design,GodClass
2,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,133,Access to field `RouterActivityThemeLight` on foreign value `R.style` (degree 1),Design,LawOfDemeter
3,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,133,Access to field `RouterActivityThemeDark` on foreign value `R.style` (degree 1),Design,LawOfDemeter
4,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,140,Access to field `FLAG_NOT_FOCUSABLE` on foreign value `WindowManager.LayoutParams` (degree 1),Design,LawOfDemeter
5,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,141,Access to field `FLAG_NOT_TOUCH_MODAL` on foreign value `WindowManager.LayoutParams` (degree 1),Design,LawOfDemeter
6,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,142,Access to field `FLAG_NOT_TOUCHABLE` on foreign value `WindowManager.LayoutParams` (degree 1),Design,LawOfDemeter
7,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,151,Access to field `alpha` on foreign value `params` (degree 1),Design,LawOfDemeter
8,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,447,Access to field `list` on foreign value `binding` (degree 1),Design,LawOfDemeter
9,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,603,Access to field `LightTheme` on foreign value `R.style` (degree 1),Design,LawOfDemeter
10,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,603,Access to field `DarkTheme` on foreign value `R.style` (degree 1),Design,LawOfDemeter
11,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,786,Access to field `SDK_INT` on foreign value `Build.VERSION` (degree 1),Design,LawOfDemeter
12,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,786,Access to field `Q` on foreign value `Build.VERSION_CODES` (degree 1),Design,LawOfDemeter
13,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,859,Access to field `currentService` on foreign value `(RouterActivity) ctx` (degree 1),Design,LawOfDemeter
14,org.schabi.newpipe,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\RouterActivity.java,3,971,Access to field `linkType` on foreign value `choice` (degree 1),Design,LawOfDemeter
1,org.schabi.newpipe.database,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\database\Migrations.java,3,11,"The class 'Migrations' is suspected to be a Data Class (WOC=0.000%, NOPA=18, NOAM=0, WMC=1)",Design,DataClass
1,org.schabi.newpipe.database.history.model,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\database\history\model\StreamHistoryEntity.java,3,28,"The class 'StreamHistoryEntity' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=6, WMC=7)",Design,DataClass
1,org.schabi.newpipe.database.playlist.model,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\database\playlist\model\PlaylistEntity.java,3,14,"The class 'PlaylistEntity' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=10, WMC=12)",Design,DataClass
2,org.schabi.newpipe.database.playlist.model,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\database\playlist\model\PlaylistEntity.java,3,17,Access to field `placeholder_thumbnail_playlist` on foreign value `R.drawable` (degree 1),Design,LawOfDemeter
1,org.schabi.newpipe.database.playlist.model,C:\User\divya\Projects\NewPipe\app\src\main\java\org\schabi\newpipe\database\playlist\model\PlaylistRemoteEntity.java,3,26,"The class 'PlaylistRemoteEntity' is suspected to be a Data Class (WOC=15.789%, NOPA=9, NOAM=16, WMC=23)",Design,DataClass
