Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\src\org\apache\cassandra\security\KubernetesSecretsPEMSslContextFactory.java,3,170,Access to field `keystoreContext` on foreign value `pemBasedSslContextFactory` (degree 1),Design,LawOfDemeter
1,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\src\org\apache\cassandra\security\KubernetesSecretsSslContextFactory.java,3,152,Access to field `KEYSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
2,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\src\org\apache\cassandra\security\KubernetesSecretsSslContextFactory.java,3,155,Access to field `TRUSTSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
3,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\src\org\apache\cassandra\security\KubernetesSecretsSslContextFactory.java,3,169,Access to field `KEYSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
4,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\src\org\apache\cassandra\security\KubernetesSecretsSslContextFactory.java,3,173,Access to field `TRUSTSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
1,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,50,Access to field `TRUSTSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
2,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,51,Access to field `KEYSTORE` on foreign value `EncryptionOptions.ConfigKey` (degree 1),Design,LawOfDemeter
3,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,107,Access to field `trustStoreContext` on foreign value `kubernetesSecretsSslContextFactory` (degree 1),Design,LawOfDemeter
4,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,120,Access to field `trustStoreContext` on foreign value `kubernetesSecretsSslContextFactory` (degree 1),Design,LawOfDemeter
5,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,134,Access to field `trustStoreContext` on foreign value `kubernetesSecretsSslContextFactory` (degree 1),Design,LawOfDemeter
6,org.apache.cassandra.security,C:\User\divya\Projects\cassandra\examples\ssl-factory\test\unit\org\apache\cassandra\security\KubernetesSecretsSslContextFactoryTest.java,3,145,Access to field `trustStoreContext` on foreign value `kubernetesSecretsSslContextFactory` (degree 1),Design,LawOfDemeter
