Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,io.metersphere.listener,C:\User\divya\Projects\metersphere\backend\app\src\main\java\io\metersphere\listener\AppStartListener.java,3,49,Access to field `PREPARED` on foreign value `ExportConstants.ExportState` (degree 1),Design,LawOfDemeter
2,io.metersphere.listener,C:\User\divya\Projects\metersphere\backend\app\src\main\java\io\metersphere\listener\AppStartListener.java,3,51,Access to field `STOP` on foreign value `ExportConstants.ExportState` (degree 1),Design,LawOfDemeter
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java,3,34,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebug.java,3,39,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlob.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugBlobExample.java,3,185,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugExample.java,3,925,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.api.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiDebugModule.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
