Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java,3,47,"Possible God Class (WMC=284, ATFD=7, TCC=8.032%)",Design,GodClass
2,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java,3,47,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java,3,32,"Possible God Class (WMC=80, ATFD=27, TCC=0.235%)",Design,GodClass
2,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java,3,32,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnsafeSwappedByteBuf.java,3,127,Access to field `writerIndex` on foreign value `wrapped` (degree 1),Design,LawOfDemeter
2,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnsafeSwappedByteBuf.java,3,135,Access to field `writerIndex` on foreign value `wrapped` (degree 1),Design,LawOfDemeter
3,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AbstractUnsafeSwappedByteBuf.java,3,143,Access to field `writerIndex` on foreign value `wrapped` (degree 1),Design,LawOfDemeter
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,254,Access to field `chunk` on foreign value `into` (degree 1),Design,LawOfDemeter
2,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,277,Access to field `usedMemory` on foreign value `magazine` (degree 1),Design,LawOfDemeter
3,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,281,Access to field `usedMemory` on foreign value `magazine` (degree 1),Design,LawOfDemeter
4,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,431,Access to field `magazines` on foreign value `parent` (degree 1),Design,LawOfDemeter
5,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,550,Access to field `centralQueue` on foreign value `parent` (degree 1),Design,LawOfDemeter
6,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,550,Call to `poll` on foreign value `parent.centralQueue` (degree 2),Design,LawOfDemeter
7,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,625,Access to field `chunkAllocator` on foreign value `parent` (degree 1),Design,LawOfDemeter
8,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,689,Access to field `usedMemory` on foreign value `magazine` (degree 1),Design,LawOfDemeter
9,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,738,Access to field `parent` on foreign value `mag` (degree 1),Design,LawOfDemeter
10,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,744,Access to field `usedMemory` on foreign value `mag` (degree 1),Design,LawOfDemeter
11,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,785,"Possible God Class (WMC=77, ATFD=9, TCC=1.403%)",Design,GodClass
12,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdaptivePoolingAllocator.java,3,893,Access to field `magazine` on foreign value `chunk` (degree 1),Design,LawOfDemeter
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareByteBuf.java,3,36,"Possible God Class (WMC=154, ATFD=25, TCC=0.000%)",Design,GodClass
2,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareByteBuf.java,3,36,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
1,io.netty.buffer,C:\User\divya\Projects\netty\buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareCompositeByteBuf.java,3,36,"Possible God Class (WMC=170, ATFD=25, TCC=0.000%)",Design,GodClass
