Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.springframework.boot.build.autoconfigure,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\autoconfigure\AutoConfigurationPlugin.java,3,145,Access to field `imports` on foreign value `autoConfigurationImports` (degree 1),Design,LawOfDemeter
2,org.springframework.boot.build.autoconfigure,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\autoconfigure\AutoConfigurationPlugin.java,3,147,Access to field `importsFile` on foreign value `autoConfigurationImports` (degree 1),Design,LawOfDemeter
1,org.springframework.boot.build.autoconfigure,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\autoconfigure\DocumentAutoConfigurationClasses.java,3,84,Access to field `classes` on foreign value `autoConfigurationClasses` (degree 1),Design,LawOfDemeter
1,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,106,Access to field `gitHub` on foreign value `this.upgradeHandler` (degree 1),Design,LawOfDemeter
2,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,121,Access to field `alignWith` on foreign value `libraryHandler` (degree 1),Design,LawOfDemeter
3,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,122,Access to field `alignWith` on foreign value `libraryHandler` (degree 1),Design,LawOfDemeter
4,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,123,Access to field `alignWith` on foreign value `libraryHandler` (degree 1),Design,LawOfDemeter
5,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,127,Access to field `alignWith` on foreign value `libraryHandler` (degree 1),Design,LawOfDemeter
6,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,3,295,"The class 'ProhibitedHandler' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=7, WMC=10)",Design,DataClass
1,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,46,"The class 'Library' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=11, WMC=16)",Design,DataClass
2,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,157,"The class 'ProhibitedVersion' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=5, WMC=7)",Design,DataClass
3,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,274,"The class 'Group' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)",Design,DataClass
4,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,312,"The class 'Module' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=9)",Design,DataClass
5,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,450,Call to `getVersion` on foreign value `fromLibrary` (degree 1),Design,LawOfDemeter
6,org.springframework.boot.build.bom,C:\User\divya\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java,3,494,Call to `getVersion` on foreign value `manager` (degree 1),Design,LawOfDemeter
