Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.springframework.docs.core.aot.hints.importruntimehints,C:\User\divya\Projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aot\hints\importruntimehints\SpellCheckService.java,3,32,Avoid unused local variables such as 'resource'.,Best Practices,UnusedLocalVariable
1,org.springframework.docs.dataaccess.jdbc.jdbccomplextypes,C:\User\divya\Projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\dataaccess\jdbc\jdbccomplextypes\TestItem.java,3,21,"The class 'TestItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=8)",Design,DataClass
1,org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequestspaths,C:\User\divya\Projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\testing\mockmvc\assertj\mockmvctesterrequestspaths\HotelControllerTests.java,3,45,Avoid unused local variables such as 'mockMvc'.,Best Practices,UnusedLocalVariable
1,org.springframework.docs.web.websocket.stomp.websocketstompinterceptors,C:\User\divya\Projects\spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompinterceptors\MyChannelInterceptor.java,3,31,Avoid unused local variables such as 'command'.,Best Practices,UnusedLocalVariable
1,org.springframework.aop.config,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java,3,54,Access to field `invocations` on foreign value `aspect` (degree 1),Design,LawOfDemeter
2,org.springframework.aop.config,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java,3,71,Access to field `invocations` on foreign value `aspect` (degree 1),Design,LawOfDemeter
1,org.springframework.aop.framework.autoproxy,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java,3,70,Access to field `SEPARATOR` on foreign value `DefaultAdvisorAutoProxyCreator` (degree 1),Design,LawOfDemeter
2,org.springframework.aop.framework.autoproxy,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java,3,108,Call to `getCountingBeforeAdvice` on foreign value `txc` (degree 1),Design,LawOfDemeter
3,org.springframework.aop.framework.autoproxy,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java,3,114,Call to `getCountingBeforeAdvice` on foreign value `txc` (degree 1),Design,LawOfDemeter
4,org.springframework.aop.framework.autoproxy,C:\User\divya\Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java,3,130,Call to `getCountingBeforeAdvice` on foreign value `txc` (degree 1),Design,LawOfDemeter
