Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,140,Access to field `trail` on foreign value `ant` (degree 1),Design,LawOfDemeter
2,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,169,Access to field `trail` on foreign value `a` (degree 1),Design,LawOfDemeter
3,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,169,Access to field `trail` on foreign value `a` (degree 1),Design,LawOfDemeter
4,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,171,Access to field `trail` on foreign value `a` (degree 1),Design,LawOfDemeter
5,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,171,Access to field `trail` on foreign value `a` (degree 1),Design,LawOfDemeter
6,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,180,Access to field `trail` on foreign value `ants.get(0)` (degree 1),Design,LawOfDemeter
7,com.baeldung.algorithms.ga.ant_colony,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,3,187,Access to field `trail` on foreign value `a` (degree 1),Design,LawOfDemeter
1,com.baeldung.algorithms.ga.jenetics,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\jenetics\KnapsackFF.java,3,23,Access to field `size` on foreign value `sum` (degree 1),Design,LawOfDemeter
1,com.baeldung.algorithms.astar,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\astar\RouteNode.java,3,5,"The class 'RouteNode' is suspected to be a Data Class (WOC=22.222%, NOPA=0, NOAM=7, WMC=13)",Design,DataClass
1,com.baeldung.algorithms.astar.underground,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\astar\underground\Station.java,3,7,"The class 'Station' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=6)",Design,DataClass
1,com.baeldung.algorithms.ga.dijkstra,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\ga\dijkstra\Node.java,3,8,"The class 'Node' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=10)",Design,DataClass
1,com.baeldung.algorithms.linkedlist,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\linkedlist\CycleDetectionBruteForce.java,3,12,Access to field `next` on foreign value `it1` (degree 2),Design,LawOfDemeter
2,com.baeldung.algorithms.linkedlist,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\linkedlist\CycleDetectionBruteForce.java,3,13,Access to field `next` on foreign value `it1` (degree 1),Design,LawOfDemeter
3,com.baeldung.algorithms.linkedlist,C:\User\divya\Projects\tutorials\algorithms-modules\algorithms-miscellaneous-2\src\main\java\com\baeldung\algorithms\linkedlist\CycleDetectionBruteForce.java,3,21,Access to field `next` on foreign value `it2` (degree 1),Design,LawOfDemeter
